state,session_id,bill_id,title,Category,ThreatLevel,Explanation
AZ,2155,1897250,Voter registration cards; mailing limitation,Election Subversion,4,This bill would allow the legislature to override certified election results.
AZ,2155,1897313,Voter registrations; recorder; inactive status,Election Subversion,4,This bill would allow the legislature to override certified election results.
AZ,2155,1897303,Voter registrations; payment prohibited,Election Subversion,4,This bill would allow the legislature to override certified election results.
AZ,2155,1901262,Emergency use products; employers; prohibition,Election Subversion,4,This bill would allow the legislature to override certified election results.
AZ,2155,1905849,Voter registration; citizenship proof,Voter Suppression,3,"This bill imposes additional requirements for voter registration, potentially disenfranchising eligible voters without citizenship proof."
AZ,2155,1907745,Automatic voter registration,Election Subversion,4,This bill would allow the legislature to override certified election results.
AZ,2155,1907838,Voter registration; same day,Election Subversion,4,This bill would allow the legislature to override certified election results.
AZ,2155,1910329,Subsequent AMA; voters; removal,Election Subversion,4,This bill would allow the legislature to override certified election results.
AZ,2155,1915706,Inactive voters; hand counts; alternates,Election Subversion,4,This bill would allow the legislature to override certified election results.
AZ,2155,1919668,Multistate voter registration system; prohibition,Election Subversion,4,This bill would allow the legislature to override certified election results.
AZ,2155,1920159,Bond; override; contributions; contracts; prohibition,Election Subversion,4,This bill would allow the legislature to override certified election results.
AZ,2155,1921058,Technical correction; emergency interception,Election Subversion,4,This bill would allow the legislature to override certified election results.
AZ,2155,1924264,System logs; voter notices; inactives,Election Subversion,4,This bill would allow the legislature to override certified election results.
AZ,2155,1923954,Voting center elections; voter distance,Election Subversion,4,This bill would allow the legislature to override certified election results.
AZ,2155,1924153,Voter registration information; registers; violations,Election Subversion,4,This bill would allow the legislature to override certified election results.
AZ,2155,1923380,Emergency response plans; charter schools,Election Subversion,4,This bill would allow the legislature to override certified election results.
AZ,2155,1925329,Voting locations; emergency designation; electioneering,Election Subversion,4,This bill would allow the legislature to override certified election results.
AZ,2155,1925693,Early voting; hours; emergency voting,Election Subversion,4,This bill would allow the legislature to override certified election results.
AZ,2155,1925649,Early ballot return; voter intimidation,Election Subversion,4,This bill would allow the legislature to override certified election results.
AZ,2155,1925346,Workers' rights; public health emergency,Emergency Power Expansion,3,"This bill likely grants expanded emergency powers related to public health emergencies, potentially impacting workers' rights."
AZ,2155,1924934,Nonemergency medical transportation; study,Election Subversion,4,This bill would allow the legislature to override certified election results.
AZ,2155,1925157,Voter registration; requirements,Election Subversion,4,This bill would allow the legislature to override certified election results.
AZ,2155,1925756,Pharmacies; emergency authority,Emergency Power Expansion,3,"This bill appears to grant pharmacies expanded emergency authority, potentially impacting public health and safety measures."
AZ,2155,1924400,Pharmacists; emergency medication; administration,Emergency Power Expansion,2,This bill expands the emergency powers of pharmacists to administer medication during emergencies.
AZ,2155,1959584,Voter registrations; transportation department; recorders,Election Subversion,4,This bill would allow the legislature to override certified election results.
AZ,2155,1964481,Proof of citizenship; voter registration,Election Subversion,4,This bill would allow the legislature to override certified election results.
AZ,2155,1895809,Appropriations; nuclear emergency management fund,Emergency Power Expansion,2,"This bill focuses on funding for nuclear emergency management, indicating an expansion of emergency powers rather than election-related concerns."
AZ,2155,1911707,Voter registration; temporary absence,Election Subversion,4,This bill would allow the legislature to override certified election results.
AZ,2155,1918738,School districts; bonds; overrides; ballots,Election Subversion,4,This bill would allow the legislature to override certified election results.
AZ,2155,1925544,Veterans; emergency admission; transport,Emergency Power Expansion,2,"This bill focuses on emergency admission and transport for veterans, indicating an expansion of emergency powers related to healthcare services rather than election processes."
AZ,2155,1931241,Automatic voter registration; same day,Election Subversion,4,This bill would allow the legislature to override certified election results.
AZ,2155,1931176,Automatic voter registration.,Election Subversion,4,This bill would allow the legislature to override certified election results.
AZ,2155,1935365,Charter schools; emergency response plans,Emergency Power Expansion,3,"This bill focuses on emergency response plans for charter schools, indicating an expansion of emergency powers in the education sector."
AZ,2155,1944106,Voting locations; emergency designation; electioneering.,Election Subversion,4,This bill would allow the legislature to override certified election results.
AZ,2155,1946236,Voter registration rolls; internet access,Election Subversion,4,This bill would allow the legislature to override certified election results.
AZ,2155,1948220,Visually impaired voters; access procedures,Election Subversion,4,This bill would allow the legislature to override certified election results.
AZ,2155,1952823,Early voting; identification; emergency voting,Election Subversion,4,This bill would allow the legislature to override certified election results.
AZ,2155,1952740,Municipalities; emergency measures; vote,Election Subversion,4,This bill would allow the legislature to override certified election results.
WI,2197,1972787,"Permitting pharmacists to prescribe certain contraceptives, extending the time limit for emergency rule procedures, providing an exemption from emergency rule procedures, granting rule-making authority, and providing a penalty. (FE)",Election Subversion,4,This bill would allow the legislature to override certified election results.
WI,2197,2000101,"Psychiatric residential treatment facilities, providing an exemption from emergency rule procedures, and granting rule-making authority.",Election Subversion,4,This bill would allow the legislature to override certified election results.
WI,2197,2000257,Clinician initiation of emergency detention of a minor and providing a penalty.,Emergency Power Expansion,3,"This bill expands the power of clinicians to initiate emergency detentions, potentially impacting civil liberties and due process rights."
WI,2197,2000166,Transportation of minors for emergency detention.,Emergency Power Expansion,3,This bill expands the emergency powers related to the transportation of minors for emergency detention.
WI,2197,2000133,"Hunting of sandhill cranes, programs related to sandhill crane damage, providing an exemption from emergency rule procedures, granting rule-making authority, and making an appropriation. (FE)",Election Subversion,4,This bill would allow the legislature to override certified election results.
WI,2197,2006828,"Classification of the crime of impersonating law enforcement officers, fire fighters, and certain other emergency personnel and providing a penalty.",Election Subversion,4,This bill would allow the legislature to override certified election results.
WI,2197,2018745,"Changing the conditions of liability for worker’s compensation benefits for emergency medical responders, emergency medical services practitioners, volunteer firefighters, correctional officers, emergency dispatchers, coroners and coroner staff, and medical examiners and medical examiner staff. (FE)",Emergency Power Expansion,2,"This bill focuses on changing liability conditions for specific emergency personnel, indicating a potential expansion of emergency powers in certain sectors."
WI,2197,2024128,A levy limit exemption for regional emergency medical systems and eligibility for the expenditure restraint incentive program. (FE),Election Subversion,4,This bill would allow the legislature to override certified election results.
WI,2197,2024107,"Emergency medical services education, tuition and materials reimbursement for emergency medical responders and emergency medical services practitioners, and a live 911 pilot program. (FE)",Election Subversion,4,This bill would allow the legislature to override certified election results.
WI,2197,2024074,"Reimbursement of emergency services under the Medical Assistance program when a patient is not transported, reporting on changes to the scope of practice of emergency medical responders and emergency medical services practitioners, and eligibility for the expenditure restraint incentive program. (FE)",Election Subversion,4,This bill would allow the legislature to override certified election results.
WI,2197,2026228,"The procedure for adding federal newborn screening recommendations to the state-required newborn screenings, granting rule-making authority, and providing an exemption from emergency rule procedures. (FE)",Election Subversion,4,This bill would allow the legislature to override certified election results.
WI,2197,2026230,Information provided to voters concerning proposed constitutional amendments and other statewide referenda. (FE),Election Subversion,4,This bill would allow the legislature to override certified election results.
WI,2197,2026177,"Creating a hazard mitigation revolving loan program, creating a Great Lakes erosion control revolving loan program, providing an exemption from emergency rule procedures, granting rule-making authority, and making an appropriation. (FE)",Election Subversion,4,This bill would allow the legislature to override certified election results.
WI,2197,2030170,"Advanced practice registered nurses, extending the time limit for emergency rule procedures, providing an exemption from emergency rule procedures, and granting rule-making authority. (FE)",Election Subversion,4,This bill would allow the legislature to override certified election results.
WI,2197,2036049,Time limits on local unit of government chief executive officer emergency power proclamations.,Emergency Power Expansion,3,"This bill focuses on setting time limits for emergency power proclamations by local government chief executive officers, potentially expanding their powers within those limits."
WI,2197,2039743,Requiring cardiac emergency response plans for cardiac emergencies that occur on school property or at school-sponsored athletic events. (FE),Election Subversion,4,This bill would allow the legislature to override certified election results.
WI,2197,1981878,The freedom to gather in places of worship during a state of emergency (second consideration).,Emergency Power Expansion,3,This bill appears to expand emergency powers related to gatherings in places of worship during a state of emergency.
WI,2197,1967717,"Permitting pharmacists to prescribe certain contraceptives, extending the time limit for emergency rule procedures, providing an exemption from emergency rule procedures, granting rule-making authority, and providing a penalty. (FE)",Election Subversion,4,This bill would allow the legislature to override certified election results.
WI,2197,1995027,"Psychiatric residential treatment facilities, providing an exemption from emergency rule procedures, and granting rule-making authority.",Election Subversion,4,This bill would allow the legislature to override certified election results.
WI,2197,1995243,Clinician initiation of emergency detention of a minor and providing a penalty.,Emergency Power Expansion,3,"This bill expands the power of clinicians to initiate emergency detentions, potentially infringing on individual rights and due process."
WI,2197,1995104,Transportation of minors for emergency detention.,Emergency Power Expansion,3,This bill expands the emergency powers related to the transportation of minors for emergency detention.
WI,2197,1994868,"Hunting of sandhill cranes, programs related to sandhill crane damage, providing an exemption from emergency rule procedures, granting rule-making authority, and making an appropriation. (FE)",Election Subversion,4,This bill would allow the legislature to override certified election results.
WI,2197,2008133,"Classification of the crime of impersonating law enforcement officers, fire fighters, and certain other emergency personnel and providing a penalty.",Election Subversion,4,This bill would allow the legislature to override certified election results.
WI,2197,2012316,"The procedure for adding federal newborn screening recommendations to the state-required newborn screenings, granting rule-making authority, and providing an exemption from emergency rule procedures. (FE)",Election Subversion,4,This bill would allow the legislature to override certified election results.
WI,2197,2019911,"Changing the conditions of liability for worker’s compensation benefits for emergency medical responders, emergency medical services practitioners, volunteer firefighters, correctional officers, emergency dispatchers, coroners and coroner staff, and medical examiners and medical examiner staff. (FE)",Emergency Power Expansion,2,"This bill focuses on changing liability conditions for specific emergency personnel, indicating an expansion of emergency powers in certain sectors."
WI,2197,2023683,A levy limit exemption for regional emergency medical systems and eligibility for the expenditure restraint incentive program. (FE),Election Subversion,4,This bill would allow the legislature to override certified election results.
WI,2197,2023742,"Emergency medical services education, tuition and materials reimbursement for emergency medical responders and emergency medical services practitioners, and a live 911 pilot program. (FE)",Election Subversion,4,This bill would allow the legislature to override certified election results.
WI,2197,2023723,"Reimbursement of emergency services under the Medical Assistance program when a patient is not transported, reporting on changes to the scope of practice of emergency medical responders and emergency medical services practitioners, and eligibility for the expenditure restraint incentive program. (FE)",Election Subversion,4,This bill would allow the legislature to override certified election results.
WI,2197,2024401,Information provided to voters concerning proposed constitutional amendments and other statewide referenda. (FE),Election Subversion,4,This bill would allow the legislature to override certified election results.
WI,2197,2024374,"Creating a hazard mitigation revolving loan program, creating a Great Lakes erosion control revolving loan program, providing an exemption from emergency rule procedures, granting rule-making authority, and making an appropriation. (FE)",Election Subversion,4,This bill would allow the legislature to override certified election results.
WI,2197,2032043,"Advanced practice registered nurses, extending the time limit for emergency rule procedures, providing an exemption from emergency rule procedures, and granting rule-making authority. (FE)",Election Subversion,4,This bill would allow the legislature to override certified election results.
WI,2197,2035511,Time limits on local unit of government chief executive officer emergency power proclamations.,Emergency Power Expansion,3,"This bill focuses on setting time limits for emergency power proclamations by local government chief executive officers, indicating a potential expansion of emergency powers rather than election subversion."
WI,2197,2036878,Requiring cardiac emergency response plans for cardiac emergencies that occur on school property or at school-sponsored athletic events. (FE),Emergency Power Expansion,2,"This bill focuses on expanding emergency response plans for cardiac emergencies at schools, indicating a moderate level of threat in terms of emergency power expansion."
WI,2197,1956584,The freedom to gather in places of worship during a state of emergency (second consideration).,Emergency Power Expansion,3,"This bill focuses on expanding the powers related to gathering in places of worship during a state of emergency, potentially increasing government control during such situations."
GA,2167,1929361,"Mental health; five-year pilot program for the purpose of creating emergency psychiatric assessment, treatment, and healing units or EmPATH units in hospitals; provide",Emergency Power Expansion,3,"This bill focuses on expanding emergency psychiatric assessment and treatment units in hospitals, potentially granting broader emergency powers in the mental health sector."
GA,2167,1945171,Emergency medical services; designate ambulance services as an essential service,Election Subversion,4,This bill would allow the legislature to override certified election results.
GA,2167,1949656,"Health; designate emergency medical services, including ambulance service, as an essential service",Emergency Power Expansion,2,"This bill designates emergency medical services as an essential service, expanding emergency powers but not directly related to elections."
GA,2167,1949606,Voter List Integrity Act; enact,Election Subversion,4,This bill would allow the legislature to override certified election results.
GA,2167,1961024,Local government; require adoption of a resolution or ordinance and voter approval prior to abolishment of a police force that was created by such method,Election Subversion,4,This bill would allow the legislature to override certified election results.
GA,2167,1961009,Elections; preferential treatment during advance voting and during certain hours on election day to certain voters; provisions,Election Subversion,4,This bill would allow the legislature to override certified election results.
